"Keep your eyes open for our special Back to School items and save A LOT!","إبق متيقظا لعروضنا الخاصة بمناسبة العودة للمدارس ووفر الكثير!"

"Articles","مقالات",
"Contact Us","اتصل بنا"
"Sign-up","تسجيل جديد"
"Arabic","العربية"
"payment<br>methods","طريقة الدفع او السداد"
"Original products 100%","منتجات اصلية 100%"
"UpSell Products","منتجات مخفضة"
"About us","نبذة عنا"
"Privacy Policy","سياسة الخصوصية"
"Your Account","حسابك"
"My Wishlist","قائمة امنياتي"
"My Order","طلبي"
"Orders and Returns","طلبات الشراء و المرتجعات"
"$","﷼"
"Featured Products","منتجات مميزة"
"Billing Agreements","اتفاقيات الفواتير"
"Recurring Profiles","الملامح المتكررة"
"My Product Reviews","تقييماتي للمنتجات"
"My Applications","تطبيقاتي"
"Newsletter Subscriptions","الاشتراك في النشرة"
"My Downloadable Products","منتجاتي القابلة للتحميل"
"SMSA Express 1-2 Days","سمسا اكسبرس خلال 2 يوم عمل"
"Cash on Delivery Fetcher 2-3 Days","دفع عند الاستلام خلال 2-4 ايام عمل"
"Cash on Delivery Easy Get 1-2 days","دفع عند الاستلام خلال 1-2 يوم عمل"
"Bank Transfer Payment","تحويل بنكي"
"Cash On Delivery","الدفع عند الاستلام"
"Credit Card (Telr)","نظام سداد / بطاقة ائتمانية (Telr)"
"You have no items in your shopping cart.","لا يوجد لديك عناصر في سلة التسوق الخاصة بك."
"Click here to continue shopping.","انقر هنا لمتابعة التسوق."
"Categories","الفئات"
"You have logged out and will be redirected to our homepage in 5 seconds.","قمت بتسجيل الخروج وسيتم توجيهك إلى الصفحة الرئيسية لدينا في 5 ثواني."
"You are now logged out","تم الآن تسجيل خروج"
"Checkout Method","طريقة تأكيد الطلب"
"Product Details and Comment","تفاصيل وتعليقات المنتج"
"Please, enter your comments...","من فضلك ، اضف تعليقك"
"My Wishlist","قائمة امنياتي"
"Can we help?","هل نستطيع مساعدتك؟"
"Categories","الفئات"
"Sale","تخفيض"
"New","جديد"
"Availability:","التوفر:"
"By ","بواسطة"
"امر","إعادة ترتيب"
"Cart","سلة التسوق"
"Checkout","اتمام الدفع"
"Hello","مرحبا"
"Reorder","اعادة الشراء"
"Fetchr 2-4 working days","فيتشر خلال 2 - 4 أيام عمل"
"Easy Get 1 - 2 working days","التوصيل الذكي خلال 1- 2 يوم عمل"
"SMSA 2 working days","سمسا اكسبريس خلال 2 يوم عمل"
"Categories","الفئات"
"Please login to use customer credit.","الرجاء تسجيل الدخول لاستخدام الائتمان للعملاء"
"My Credit","الائتمان الخاصة بي"
"Order Review","sfsfsf"