"%s was successfully added to your shopping cart.","%s تم بنجاح إضافة إلى سلة التسوق الخاصة بك."
"&laquo; Back to Billing Information","&laquo; العودة إلى معلومات الفواتير"
"&laquo; Back to Select Addresses","&laquo; العودة إلى تحديد عناوين"
"&laquo; Back to Shopping Cart","&laquo; العودة إلى سلة التسوق"
"* Required Fields","* الحقول المطلوبة"
"Add New Address","اضف عنوان جديد"
"Add New Condition","إضافة شرط جديد"
"Add to Cart","أضف إلى السلة,"
"Add to Compare","اضف للمقارنة"
"Add to Wishlist","اضف الى قائمة الامنيات"
"Address","عنوان"
"Address %s of %s","عنوان %s من %s"
"After adding a product redirect to shopping cart","بعد إضافة منتج إعادة توجيه إلى عربة التسوق"
"Allow Guest Checkout","السماح للزائر الخروج"
"Already registered?","مسجل بالفعل؟"
"An error occurred in the process of payment","حدث خطأ في عملية الدفع"
"Apply Coupon","تطبيق القسيمة"
"Are you sure you would like to remove this item from the shopping cart?","هل أنت متأكد أنك ترغب في إزالة هذا العنصر من عربة التسوق؟"
"Back","الى الخلف"
"Back to Shipping Information","العودة إلى معلومات الشحن"
"Based on your selection, you may be interested in the following items:","وفقا لاختيارك، قد تكون مهتمة في البنود التالية:"
"Billing Address","عنوان وصول الفواتير"
"Billing Information","معلومات الفواتير"
"Billing Information - %s","معلومات الفواتير - %s"
"Can not add item to shopping cart","لا يمكن إضافة بند إلى عربة التسوق"
"Can not apply coupon code.","لا يمكن تطبيق رمز القسيمة."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","إلغاء القسيمة"
"Cannot remove item","لا يمكن إزالة البند"
"Cannot update shopping cart","لا يمكن تحديث عربة التسوق"
"Card Verification Number Visual Reference","رقم التحقق من البطاقة البصرية المرجعي"
"Cart Subtotal:","عربة المجموع الفرعي:"
"Change","تغيير"
"Change Billing Address","تغيير عنوان الفواتير"
"Checkbox text","نص مربع"
"Checkout","الدفع"
"Checkout Conditions","شروط الخروج"
"Checkout Options","خيارات المحاسبه"
"Checkout Section","القسم الخروج"
"Checkout Terms and Conditions","الشروط والأحكام المحاسبه"
"Checkout as Guest","الخروج كضيف"
"Checkout as a Guest or Register","الخروج كضيف أو التسجيل"
"Checkout method","طريقة الخروج"
"Checkout with Multiple Addresses","الخروج مع عناوين متعددة"
"City","مدينة"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","قريبقريب"
"Company","شركة"
"Condition Name","حالة اسم"
"Condition was successfully deleted","تم حذف شرط بنجاح"
"Condition was successfully saved","تم حفظ حالة بنجاح"
"Configurable product image","صورة المنتج شكلي"
"Confirm Password","تأكيد كلمة المرور"
"Content","محتوى"
"Content Height","المحتوى الطول"
"Content Height (css)","ارتفاع المحتوى (المغلق)"
"Continue","استمر"
"Continue Shopping","مواصلة التسوق"
"Continue to Billing Information","مواصلة معلومات الفواتير"
"Continue to Review Your Order","الاستمرار في مراجعة النظام الخاص بك"
"Continue to Shipping Information","مواصلة معلومات الشحن"
"Country","بلد"
"Coupon code ""%s"" is not valid.","رمز القسيمة ""%s"" غير صالح."
"Coupon code ""%s"" was applied successfully.","ØªÙ… ØªØ·Ø¨ÙŠÙ‚ Ø±Ù…Ø² Ø§Ù„Ù‚Ø³ÙŠÙ…Ø© ""Ùª S"" Ø¨Ù†Ø¬Ø§Ø­."
"Coupon code was canceled successfully.","تم إلغاء رمز القسيمة بنجاح."
"Create Billing Address","إنشاء عنوان الفواتير"
"Create Shipping Address","إنشاء العناوين البريدية"
"Customer Address is not valid.","عنوان العميل غير صالح."
"Data saving problem","مشكلة توفير البيانات"
"Default Billing","افتراضي الفواتير"
"Default Shipping","الشحن الافتراضي"
"Delete Condition","حذف الشرط"
"Details","تفاصيل"
"Disable Onepage Checkout","تعطيل صفحة واحدة الخروج"
"Disabled","معاق"
"Discount Codes","رموز الخصم"
"Display Cart Summary","عرض موجز العربة"
"Display Shopping Cart Sidebar","عرض سلة التسوق الشريط الجانبي"
"Display item quantities","كميات العرض البند"
"Display number of items in cart","عدد عرض سلع في عربة"
"Easy access to your order history and status","سهولة الوصول إلى تاريخ طلبك والوضع"
"Edit","تحرير"
"Edit Address","تحرير عنوان"
"Edit Billing Address","تحرير عنوان الفواتير"
"Edit Items","تحرير عناصر"
"Edit Shipping Address","تحرير عنوان الشحن"
"Edit Terms and Conditions","تحرير الأحكام والشروط"
"Edit Your Cart","تعديل عربة التسوق"
"Email Address","عنوان البريد الإلكتروني"
"Enable Terms and Conditions","تمكين الشروط والأحكام"
"Enabled","تمكين"
"Enter a New Address","أدخل عنوان جديد"
"Enter your coupon code if you have one.","أدخل رمز القسيمة إذا كان لديك واحد."
"Enter your destination to get a shipping estimate.","أدخل وجهتك للحصول على تقدير الشحن."
"Error while deleting this condition. Please try again later.","خطأ أثناء حذف هذا الشرط. الرجاء معاودة المحاولة في وقت لاحق."
"Error while saving this condition. Please try again later.","خطأ أثناء إنقاذ هذا الشرط. الرجاء معاودة المحاولة في وقت لاحق."
"Estimate Shipping and Tax","تقدير قيمة الشحن والضرائب"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","نقطة خروج سهلة وسريعة"
"Fax","فاكس"
"Forgot an Item?","نسيت عنصر؟"
"Forgot your password?","نسيت رقمك السري؟"
"Get a Quote","إقتبس"
"Grand Total:","المبلغ الإجمالي:"
"Grouped product image","تجميع صورة المنتج"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","بيانات غير صالحة"
"Invalid email address ""%s""","عنوان البريد الإلكتروني غير صالح ØµØ§Ù„Ø­"
"Invalid shipping method.","طريقة الشحن غير صالح."
"Items","العناصر"
"Load customer quote error","تحميل الخطأ اقتبس العملاء"
"Loading next step...","تحميل الخطوة التالية ..."
"Login","تسجيل الدخول"
"Manage Checkout Terms and Conditions","إدارة الخروج الشروط والأحكام"
"Maximum display Recently added item(s)","أقصى عرض أضاف في الآونة الأخيرة البند (ق)"
"Maximum qty allowed for Shipping to multiple addresses is %s","الكمية القصوى المسموح بها لشحن إلى عناوين متعددة هي %s"
"Move to Wishlist","الانتقال إلى قائمة الرغبات"
"My Account","حسابي"
"My Cart","سلتي"
"My Cart (%s item)","سلتي(%s بند)"
"My Cart (%s items)","سلتي (%s العناصر)"
"My Cart Link","سلتي صلة"
"New Address","العناوين الجديدة"
"New Condition","شرط جديد"
"Order #","طلب  #"
"Order Review","مراجعة الطلب"
"Order Success","أجل النجاح"
"Other items in your order","العناصر الأخرى في طلبك"
"Password","كلمه السر"
"Payment Failed Email Reciever","دفع فشل استقبال البريد الإلكتروني"
"Payment Failed Email Sender","دفع فشل البريد الإلكتروني المرسل"
"Payment Failed Emails","رسائل البريد الإلكتروني دفع فشل"
"Payment Failed Template","دفع قالب فشل"
"Payment Information","معلومات الدفع"
"Payment Method","طريقة الدفع او السداد"
"Payment method is not defined","لم يتم تعريف طريقة الدفع"
"Place Order","ترتيب مكان"
"Please <a href=""%s"">continue shopping</a>.","من فضلك <a href=""%s"">مواصلة التسوق</a>."
"Please agree to all Terms and Conditions before placing the order.","يرجى توافق على جميع البنود والشروط قبل وضع النظام."
"Please agree to all Terms and Conditions before placing the orders.","يرجى توافق على جميع البنود والشروط قبل وضع أوامر."
"Please enter a valid zip code. For example 90602 or 90602-1234.","الرجاء إدخال الرمز البريدي صالح. على سبيل المثال 90602 أو 90602-1234."
"Please log in below:","الرجاء تسجيل دخولك في الأسفل:"
"Please select region, state or province","الرجاء اختيار المنطقة، الولاية أو المقاطعة"
"Please select shipping address for applicable items","يرجى اختيار عنوان الشحن للسلع قابلة للتطبيق"
"Please select shipping methods for all addresses","يرجى اختيار وسائل النقل البحري لكافة عناوين"
"Proceed to Checkout","باشرالخروج من الفندق"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product does not exist","لا توجد منتجات"
"Qty","الكمية"
"Quote Lifetime (days)","اقتباس عمر (أيام)"
"Recently added item(s)","وأضاف في الآونة الأخيرة البند (ق)"
"Register","تسجيل"
"Register and save time!","تسجيل وتوفيرا للوقت!"
"Register to Create an Account","سجل لإنشاء حساب"
"Register with us for future convenience:","تسجيل معنا للراحة في المستقبل:"
"Remove","إزالة"
"Remove Item","إزالة بند"
"Remove Product","إزالة المنتج"
"Remove item","إزالة بند"
"Review Order","مراجعة الطلب"
"Review Order - %s","مراجعة الطلب - %s"
"Sales","مبيعات"
"Save Condition","حفظ الحالة"
"Save in address book","حفظ في دفتر العناوين"
"Select Address","حدد عنوان"
"Select Addresses","حدد عناوين"
"Select Shipping Method","إختر طريقة الشحن"
"Select State/Province...","اختر دولة / محافظة ..."
"Select a billing address from your address book or enter a new address.","اختر عنوان الفواتير من دفتر العناوين الخاص بك أو أدخل عنوان جديد."
"Select a shipping address from your address book or enter a new address.","اختيار عنوان الشحن من دفتر العناوين الخاص بك أو أدخل عنوان جديد."
"Send Payment Failed Email Copy Method","إرسال الدفع فشل البريد الإلكتروني طريقة نسخ"
"Send Payment Failed Email Copy To","إرسال الدفع فشل البريد الإلكتروني نسخة ل"
"Send to","ارسل إلى"
"Ship to Multiple Addresses","أشحن لعناوين متعددة"
"Ship to different address","سفينة إلى عنوان مختلف"
"Ship to this address","سفينة إلى عنوان مختلف"
"Shipping Address","عنوان الشحن"
"Shipping Information","معلومات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Methods","طرق الشحن"
"Shipping method has not been selected yet","لم يتم اختيار وسيلة النقل البحري بعد"
"Shipping selection is not applicable","Øاختيار الشحن غير قابلة للتطبيق"
"Shipping to","يشحن إلى"
"Shopping Cart","عربة التسوق"
"Shopping Cart Sidebar","سلة التسوق الشريط الجانبي"
"Shopping Cart is Empty","عربة التسوق فارغة"
"Show Content as","عرض المحتوى كما"
"Some of the products you requested are not available in the desired quantity","بعض المنتجات التي طلبتها غير متوفرة في الكمية المطلوبة"
"Some of the products you requested are unavailable","بعض المنتجات التي طلبتها غير متوفرة"
"Sorry, Onepage Checkout is disabled.","آسف، يتم تعطيل الخروج Onepage."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","عذرا، لم يتم تمكين الخروج الضيف. يرجى المحاولة مرة أخرى أو اتصل صاحب المتجر."
"Sorry, no quotes are available for this order at this time.","عذرا، تتوفر لهذا النظام في هذا الوقت لا يقتبس."
"State/Province","الدولة / مقاطعة"
"Status","الحالة"
"Store View","عرض متجر"
"Street Address","عنوان الشارع"
"Street Address","عنوان الشارع"
"Submitting order information...","تقديم معلومات النظام ..."
"Subtotal","حاصل الجمع"
"Telephone","هاتف"
"Terms and Conditions","الأحكام والشروط"
"Terms and Conditions Information","الشروط والأحكام معلومات"
"Terms and conditions","الأحكام والشروط"
"Text","Text"
"Thank you for your purchase!","شكرا لك على الشراء!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","هناك <a href=""%s""><strong>%s العناصر</strong></a> في سلة التسوق الخاصة بك."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","هناك <a href=""%s""><strong>1 البند</strong></a> في سلة التسوق الخاصة بك."
"There is already a customer registered using this email address","هناك العملاء تسجيل باستخدام عنوان البريد الإلكتروني هذا بالفعل"
"There was an error processing your order. Please contact us or try again later.","كان هناك خطأ في معالجة طلبك. يرجى الاتصال بنا أو المحاولة مرة أخرى في وقت لاحق."
"This condition no longer exists","هذا الشرط لم يعد موجودا"
"Total","مجموع"
"Total for this address","إجمالي لهذا العنوان"
"Unit Price","سعر الوحدة"
"Update Qty &amp; Addresses","تحديث الكمية و. عناوين"
"Update Shopping Cart","تحديث سلة الشراء"
"Update Total","تحديث إجمالي"
"Use Billing Address","استخدم عنوان الفاتورة"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","نحن معالجة النظام الخاص بك وسوف تتلقى قريبا رسالة بريد إلكتروني مع تفاصيل النظام. بمجرد شحنها في النظام سوف تتلقى رسالة إلكترونية أخرى مع وصلة لتتبع التقدم المحرز فيها."
"You have no items in your shopping cart.","لا يوجد لديك عناصر في سلة التسوق الخاصة بك."
"You will receive an order confirmation email with details of your order and a link to track its progress.","سوف تتلقى أمر تأكيد البريد الإلكتروني مع تفاصيل طلبك وجود صلة لتتبع التقدم المحرز فيها."
"Your Checkout Progress","لديك الخروج التقدم"
"Your order # is: %s","طلبك # هو: %s"
"Your order # is: <a href=""%s"">%s</a>","طلبك   # هو: <a href=""%s"">%s</a>"
"Your order has been received","تم استلام طلبك"
"Your order number is ","رقم الطلب الخاص بك هو"
"Zip/Postal Code","الرمز البريدي / الرمز البريدي"
"osCommerce Orders","أوامر بورصة مصر"
"separate by "",""","منفصلة من قبل "","""
"My Cart","سلتي"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","الدفع"
"Shopping Cart is Empty","عربة التسوق فارغة"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."

